Date,site_no,Mean Flow,Peak Flow,Median  Flow,Coeff Var,Skew,Tqmean,R-B Index,7Q,3xMedian,Median Flow,Station
1969-10-01,3335000.0,865.8806559718713,21000.0,0,129.40264747554252,3.007030856049723,0.2684931506849315,0.26169424242894135,142.0,49.0,414.0,Wildcat
1970-10-01,3335000.0,865.8806559718713,21000.0,0,89.54645120135646,3.776019776579336,0.2273972602739726,0.28466880536619155,130.57142857142858,36.0,414.0,Wildcat
1971-10-01,3335000.0,865.8806559718713,21000.0,0,134.42005136817704,4.592099388253689,0.2540983606557377,0.2390082997192798,115.57142857142857,56.0,414.0,Wildcat
1972-10-01,3335000.0,865.8806559718713,21000.0,0,134.77252116159755,1.7503763421692422,0.3287671232876712,0.2381917241790306,145.71428571428572,50.0,414.0,Wildcat
1973-10-01,3335000.0,865.8806559718713,21000.0,0,217.14000472471665,2.651093344707616,0.2602739726027397,0.23913196873506862,130.85714285714286,69.0,414.0,Wildcat
1974-10-01,3335000.0,865.8806559718713,21000.0,0,110.75597049903195,3.381166835168597,0.2876712328767123,0.2884030144650799,124.71428571428571,40.0,414.0,Wildcat
1975-10-01,3335000.0,865.8806559718713,21000.0,0,148.84353069934923,3.9690087210308143,0.20218579234972678,0.2726621469854074,108.42857142857143,59.0,414.0,Wildcat
1976-10-01,3335000.0,865.8806559718713,21000.0,0,47.2456156576548,2.607683510668991,0.29863013698630136,0.23923981311929904,57.714285714285715,85.0,414.0,Wildcat
1977-10-01,3335000.0,865.8806559718713,21000.0,0,195.31130945109328,2.957403712108986,0.2465753424657534,0.25292747148337014,97.71428571428571,85.0,414.0,Wildcat
1978-10-01,3335000.0,865.8806559718713,21000.0,0,118.17691716884669,3.977345751536447,0.26301369863013696,0.3235634679403676,99.28571428571429,79.0,414.0,Wildcat
1979-10-01,3335000.0,865.8806559718713,21000.0,0,153.49368032916658,4.638350088167529,0.23770491803278687,0.2592560300427848,139.71428571428572,70.0,414.0,Wildcat
1980-10-01,3335000.0,865.8806559718713,21000.0,0,107.72225916471905,4.516255941351599,0.2876712328767123,0.2646244787609403,115.57142857142857,91.0,414.0,Wildcat
1981-10-01,3335000.0,865.8806559718713,21000.0,0,168.14069427578855,2.5737674419964947,0.27123287671232876,0.27388648517199615,141.85714285714286,76.0,414.0,Wildcat
1982-10-01,3335000.0,865.8806559718713,21000.0,0,175.0072878497897,6.829242533426164,0.2684931506849315,0.2695044962618288,102.85714285714286,58.0,414.0,Wildcat
1983-10-01,3335000.0,865.8806559718713,21000.0,0,127.00225880348901,2.8736798824953147,0.2459016393442623,0.22280062836656608,99.42857142857143,72.0,414.0,Wildcat
1984-10-01,3335000.0,865.8806559718713,21000.0,0,195.47129115882476,6.055578029788322,0.18356164383561643,0.26648910171496576,85.28571428571429,63.0,414.0,Wildcat
1985-10-01,3335000.0,865.8806559718713,21000.0,0,151.86181357092212,2.978897573943685,0.27945205479452057,0.2767999573816972,86.42857142857143,69.0,414.0,Wildcat
1986-10-01,3335000.0,865.8806559718713,21000.0,0,27.045071480818457,2.477809372264607,0.29315068493150687,0.167063046495796,94.14285714285714,23.0,414.0,Wildcat
1987-10-01,3335000.0,865.8806559718713,21000.0,0,90.60772707860019,3.2933001531035595,0.29508196721311475,0.20487065382170278,82.85714285714286,90.0,414.0,Wildcat
1988-10-01,3335000.0,865.8806559718713,21000.0,0,187.79198980358828,5.453989396236965,0.19726027397260273,0.3168185610679674,69.42857142857143,52.0,414.0,Wildcat
1989-10-01,3335000.0,865.8806559718713,21000.0,0,149.0943158475354,3.9957216286954793,0.25205479452054796,0.27257453630092987,154.28571428571428,43.0,414.0,Wildcat
1990-10-01,3335000.0,865.8806559718713,21000.0,0,182.3805799777111,5.8914633309264275,0.29315068493150687,0.2548128699338772,80.42857142857143,51.0,414.0,Wildcat
1991-10-01,3335000.0,865.8806559718713,21000.0,0,163.97375602768875,5.229642888323199,0.22131147540983606,0.24152937417023282,128.71428571428572,48.0,414.0,Wildcat
1992-10-01,3335000.0,865.8806559718713,21000.0,0,210.98608357035187,3.459737161539693,0.2602739726027397,0.28913383637733187,200.42857142857142,53.0,414.0,Wildcat
1993-10-01,3335000.0,865.8806559718713,21000.0,0,141.75011441129647,4.431682506968483,0.29315068493150687,0.27634312280667955,140.57142857142858,50.0,414.0,Wildcat
1994-10-01,3335000.0,865.8806559718713,21000.0,0,75.55680992776617,3.485480465158047,0.22465753424657534,0.228935345273556,83.28571428571429,47.0,414.0,Wildcat
1995-10-01,3335000.0,865.8806559718713,21000.0,0,106.20609134451841,3.2137143143899736,0.27595628415300544,0.26650893039996165,81.42857142857143,93.0,414.0,Wildcat
1996-10-01,3335000.0,865.8806559718713,21000.0,0,177.25225219997094,4.015268698384892,0.29315068493150687,0.28197436523503006,86.57142857142857,72.0,414.0,Wildcat
1997-10-01,3335000.0,865.8806559718713,21000.0,0,221.3191203267855,4.450890709028874,0.2602739726027397,0.3002253870097963,73.42857142857143,102.0,414.0,Wildcat
1998-10-01,3335000.0,865.8806559718713,21000.0,0,158.6120787850191,6.941125907560752,0.25753424657534246,0.24851046779525193,60.0,80.0,414.0,Wildcat
1999-10-01,3335000.0,865.8806559718713,21000.0,0,58.13908328840418,8.640943815281496,0.19398907103825136,0.269398943985546,69.71428571428571,50.0,414.0,Wildcat
2000-10-01,3335000.0,865.8806559718713,21000.0,0,75.67215815239105,3.5190189624853483,0.2684931506849315,0.25539781366539155,101.85714285714286,42.0,414.0,Wildcat
